GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg Seq in_grs
12.804 -0.261 35.3 0.0051 0.0019 235 2.7339 -0.5 -0.5735764363510457 -0.8191520442889921 2.5981674382716053e-05 3.515625e-06 0 2742 0
12.824 0.378 19.6 0.0016 0.0015 214 0.9113 -0.5 -0.8290375725550418 -0.5591929034707467 2.546684027777778e-06 2.308711419753086e-06 0 2750 0
12.836 -0.376 37.9 0.0025 0.0017 176 1.9215 -0.5 -0.9975640502598242 0.06975647374412552 6.180748456790122e-06 2.7454648919753085e-06 1 2754 0
12.834 0.555 33.4 0.0025 0.002 234 0.7488 -0.5 -0.5877852522924732 -0.8090169943749473 6.111882716049384e-06 4.083767361111111e-06 0 2755 0
12.838 -0.285 33.0 0.0025 0.002 193 1.3375 -0.5 -0.9743700647852352 -0.22495105434386498 6.243057484567899e-06 3.906113040123457e-06 0 2756 0
12.837 0.391 19.5 0.0035 0.0027 137 0.8454 -0.5 -0.7313537016191705 0.6819983600624985 1.2211141975308643e-05 7.297501929012344e-06 0 2757 0
12.846 -0.348 37.9 0.0063 0.004 146 1.9215 -0.5 -0.8290375725550416 0.5591929034707469 3.9620030864197533e-05 1.60556037808642e-05 1 2758 0
12.852 -0.226 37.0 0.0036 0.003 145 1.646 -0.5 -0.8191520442889917 0.5735764363510464 1.3100378086419752e-05 8.735308641975311e-06 0 2760 0
12.853 -0.32 37.1 0.0033 0.0025 256 0.8313 -0.5 -0.2419218955996678 -0.9702957262759965 1.1037160493827163e-05 6.201483410493827e-06 0 2761 0
12.856 0.524 18.0 0.0033 0.0029 205 1.6295 -0.5 -0.90630778703665 -0.4226182617406993 1.0981859567901234e-05 8.66157600308642e-06 0 2762 0
12.86 -0.273 36.3 0.0027 0.0023 160 2.2441 -0.5 -0.9396926207859083 0.3420201433256689 7.43319637345679e-06 5.412085262345678e-06 0 2763 0
12.856 -0.249 36.3 0.0045 0.0037 149 1.4859 -0.5 -0.8571673007021121 0.5150380749100544 2.0038057484567894e-05 1.3444444444444444e-05 0 2764 0
12.888 0.497 32.1 0.0071 0.0033 261 3.1672 -0.5 -0.15643446504023106 -0.9876883405951377 5.0370563271604944e-05 1.0643906249999999e-05 0 2769 0
