GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg MSXDC m_MSXDC
23.4300 -0.5250 62.4000 0.0692 0.0217 212 3.8000 -0.5 -0.8480480961564261 -0.5299192642332048 0.004784027777777778 0.0004694444444444445 0 G023.42-00.52 0
23.4450 -0.0400 81.8000 0.0275 0.0150 205 7.2000 -0.5 -0.90630778703665 -0.4226182617406993 0.0007562499999999999 0.000225 0 G023.44-00.03 0
23.4720 0.1060 86.4000 0.0225 0.0183 116 6.9000 -0.5 -0.4383711467890775 0.8987940462991669 0.0005062500000000001 0.00033611111111111114 0 G023.47+00.10 0
23.6070 -0.0090 53.9000 0.0350 0.0067 171 5.8000 -0.5 -0.9876883405951377 0.15643446504023098 0.0012250000000000002 4.444444444444445e-05 0 G023.60+00.00 0
23.7180 0.3050 87.8000 0.1558 0.1525 250 7.4000 -0.5 -0.3420201433256685 -0.9396926207859084 0.024284027777777776 0.02325625 0 G023.71+00.30 0
23.7430 0.0280 53.6000 0.0458 0.0117 199 8.3000 -0.5 -0.945518575599317 -0.32556815445715637 0.002100694444444444 0.00013611111111111107 0 G023.74+00.02 0
23.7640 0.5280 36.4000 0.0425 0.0192 191 1.4000 -0.5 -0.981627183447664 -0.19080899537654475 0.0018062499999999997 0.00036736111111111106 0 G023.76+00.52 0
23.7850 0.1740 79.5000 0.0433 0.0333 96 3.9000 -0.5 -0.10452846326765333 0.9945218953682734 0.001877777777777778 0.0011111111111111111 0 G023.78+00.17 0
23.7960 -0.0050 56.5000 0.0200 0.0200 91 3.5000 -0.5 -0.017452406437283473 0.9998476951563913 0.0004 0.0004 0 G023.79+00.00 0
23.8290 -0.6810 59.6000 0.0675 0.0317 255 4.6000 -0.5 -0.25881904510252063 -0.9659258262890683 0.004556249999999999 0.0010027777777777776 0 G023.82-00.68 0
23.8500 -0.3010 56.1000 0.0275 0.0158 115 4.2000 -0.5 -0.42261826174069933 0.90630778703665 0.0007562499999999999 0.0002506944444444444 0 G023.85-00.30 0
23.8640 -0.1940 57.6000 0.0550 0.0408 255 7.7000 -0.5 -0.25881904510252063 -0.9659258262890683 0.0030249999999999995 0.001667361111111111 0 G023.86-00.19 0
23.8740 0.0790 53.1000 0.0550 0.0483 160 8.6000 -0.5 -0.9396926207859083 0.3420201433256689 0.0030249999999999995 0.002336111111111111 0 G023.87+00.07 0
24.0570 -0.2160 81.7000 0.0192 0.0075 160 3.0000 -0.5 -0.9396926207859083 0.3420201433256689 0.00036736111111111106 5.625e-05 0 G024.05-00.21 0
24.0840 0.0420 52.5000 0.1150 0.1033 244 5.1000 -0.5 -0.43837114678907774 -0.8987940462991668 0.013225 0.010677777777777777 0 G024.08+00.04 0
24.0830 0.3210 50.2000 0.1025 0.0300 147 5.9000 -0.5 -0.8386705679454242 0.5446390350150269 0.010506250000000002 0.0009 0 G024.08+00.32 0
24.1410 -0.1690 81.3000 0.0642 0.0508 204 3.6000 -0.5 -0.9135454576426009 -0.4067366430758002 0.004117361111111111 0.002584027777777777 0 G024.14-00.16 0
24.2740 -0.9210 60.8000 0.0458 0.0350 136 2.8000 -0.5 -0.719339800338651 0.6946583704589975 0.002100694444444444 0.0012250000000000002 0 G024.27-00.92 0
24.3300 0.1140 52.9000 0.0517 0.0500 144 6.5000 -0.5 -0.8090169943749473 0.5877852522924732 0.0026694444444444443 0.0025000000000000005 0 G024.33+00.11 0
24.3620 -0.1620 55.3000 0.0217 0.0192 98 6.5000 -0.5 -0.13917310096006535 0.9902680687415704 0.0004694444444444445 0.00036736111111111106 0 G024.36-00.16 0
24.3760 -0.2180 55.8000 0.0425 0.0283 108 7.9000 -0.5 -0.30901699437494734 0.9510565162951536 0.0018062499999999997 0.0008027777777777777 0 G024.37-00.21 0
24.4300 -0.2360 54.0000 0.0167 0.0150 113 4.3000 -0.5 -0.3907311284892736 0.9205048534524404 0.0002777777777777778 0.000225 0 G024.42-00.23 0
26.3340 0.4980 60.3000 0.0100 0.0058 189 6.5000 -0.5 -0.9876883405951378 -0.15643446504023076 0.0001 3.402777777777777e-05 0 G024.42-00.53 0
24.4910 -0.6980 48.3000 0.0533 0.0408 231 2.5000 -0.5 -0.6293203910498378 -0.7771459614569706 0.002844444444444445 0.001667361111111111 0 G024.49-00.69 0
24.5480 -0.7380 48.4000 0.0175 0.0167 163 2.2000 -0.5 -0.9563047559630354 0.292371704722737 0.00030625000000000004 0.0002777777777777778 0 G024.54-00.73 0
24.5560 -0.5310 61.1000 0.1433 0.0817 192 3.3000 -0.5 -0.9781476007338056 -0.2079116908177595 0.020544444444444438 0.006669444444444444 0 G024.55-00.53 0
24.6060 0.0810 52.4000 0.1283 0.0625 112 4.2000 -0.5 -0.37460659341591207 0.9271838545667874 0.016469444444444443 0.00390625 0 G024.60+00.08 0
24.6110 -0.3310 43.7000 0.0225 0.0167 153 3.2000 -0.5 -0.8910065241883678 0.45399049973954686 0.0005062500000000001 0.0002777777777777778 0 G024.61-00.33 0
24.6490 0.4530 44.6000 0.0917 0.0500 184 1.9000 -0.5 -0.9975640502598242 -0.06975647374412527 0.008402777777777776 0.0025000000000000005 0 G024.64+00.45 0
25.0400 -0.7990 51.7000 0.0333 0.0267 98 2.5000 -0.5 -0.13917310096006535 0.9902680687415704 0.0011111111111111111 0.0007111111111111113 0 G025.03-00.79 0
