GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg DESIGNATION in_grs
15.792 -0.2354 58.715 0.0022 0.0022 0 3.367 -0.5 1.0 0.0 4.785156250000001e-06 4.785156250000001e-06 1 HIGALBM15.7920-0.2354 1
15.795 -0.4053 51.887 0.002 0.002 0 3.367 -0.5 1.0 0.0 3.9722704475308645e-06 3.9722704475308645e-06 1 HIGALBM15.7950-0.4053 1
15.7955 -0.4141 46.64 0.0024 0.0024 0 3.367 -0.5 1.0 0.0 5.833566743827161e-06 5.833566743827161e-06 1 HIGALBM15.7955-0.4141 1
15.8472 0.3544 28.531 0.0055 0.0055 0 3.367 -0.5 1.0 0.0 3.0418288966049384e-05 3.0418288966049384e-05 1 HIGALBM15.8472+0.3544 1
15.8658 -0.7705 18.365 0.0026 0.0026 0 3.367 -0.5 1.0 0.0 6.876049382716048e-06 6.876049382716048e-06 1 HIGALBM15.8658-0.7705 1
15.9039 -0.6373 19.465 0.0026 0.0026 0 3.367 -0.5 1.0 0.0 6.810650077160493e-06 6.810650077160493e-06 1 HIGALBM15.9039-0.6373 1
15.9058 0.0266 25.21 0.0023 0.0023 0 3.367 -0.5 1.0 0.0 5.399168595679013e-06 5.399168595679013e-06 1 HIGALBM15.9058+0.0266 1
15.9517 0.2765 19.883 0.0055 0.0055 0 3.367 -0.5 1.0 0.0 3.0725464891975307e-05 3.0725464891975307e-05 1 HIGALBM15.9517+0.2765 1
15.955 -0.5531 19.529 0.0031 0.0031 0 3.367 -0.5 1.0 0.0 9.59278549382716e-06 9.59278549382716e-06 1 HIGALBM15.9550-0.5531 1
15.9605 -0.674 21.121 0.0035 0.0035 0 3.367 -0.5 1.0 0.0 1.2396267361111115e-05 1.2396267361111115e-05 1 HIGALBM15.9605-0.6740 1
15.9787 -0.3441 42.389 0.0014 0.0014 0 3.367 -0.5 1.0 0.0 2.0227160493827164e-06 2.0227160493827164e-06 1 HIGALBM15.9787-0.3441 1
15.9914 -0.6875 21.028 0.0032 0.0032 0 3.367 -0.5 1.0 0.0 1.0454444444444443e-05 1.0454444444444443e-05 1 HIGALBM15.9914-0.6875 1
16.0254 0.5098 26.379 0.0037 0.0037 0 3.367 -0.5 1.0 0.0 1.3383402777777777e-05 1.3383402777777777e-05 1 HIGALBM16.0254+0.5098 1
16.0356 0.5171 26.823 0.0041 0.0041 0 3.367 -0.5 1.0 0.0 1.656037808641975e-05 1.656037808641975e-05 1 HIGALBM16.0356+0.5171 1
16.0899 -0.319 38.997 0.0028 0.0028 0 3.367 -0.5 1.0 0.0 8.090864197530866e-06 8.090864197530866e-06 1 HIGALBM16.0899-0.3190 1
16.1116 -0.3031 39.62 0.0017 0.0017 0 3.367 -0.5 1.0 0.0 3.004444444444445e-06 3.004444444444445e-06 1 HIGALBM16.1116-0.3031 1
16.1169 -0.2903 39.63 0.0025 0.0025 0 3.367 -0.5 1.0 0.0 6.036576003086421e-06 6.036576003086421e-06 1 HIGALBM16.1169-0.2903 1
16.2225 0.4492 27.274 0.0018 0.0018 0 3.367 -0.5 1.0 0.0 3.091736111111111e-06 3.091736111111111e-06 1 HIGALBM16.2225+0.4492 1
16.267 0.2032 129.526 0.0037 0.0037 0 3.367 -0.5 1.0 0.0 1.3659184027777776e-05 1.3659184027777776e-05 1 HIGALBM16.2670+0.2032 1
16.3014 -0.1959 48.783 0.0019 0.0019 0 3.367 -0.5 1.0 0.0 3.552177854938272e-06 3.552177854938272e-06 1 HIGALBM16.3014-0.1959 1
16.3018 -0.1479 48.784 0.0025 0.0025 0 3.367 -0.5 1.0 0.0 6.1325019290123445e-06 6.1325019290123445e-06 1 HIGALBM16.3018-0.1479 1
16.3072 -0.2032 48.582 0.0022 0.0022 0 3.367 -0.5 1.0 0.0 4.901304012345679e-06 4.901304012345679e-06 1 HIGALBM16.3072-0.2032 1
