lonMin lonMax latMin latMax velMin velMax KDA pFar
29.955 30.325 0.02 0.26 82.32 85.02 N 0.0
26.465 26.715 -0.255 0.235 22.59 27.43 N 0.0
38.28 38.8 -0.17 0.05 15.99 17.89 N 0.0
22.245 22.535 -0.87 -0.65 67.1 70.5 F 1.0
34.5 34.68 -0.285 -0.035 77.495 80.505 N 0.0
38.355 38.825 -0.53 -0.29 17.88 20.24 N 0.0
23.775 24.405 0.175 0.605 7.54 10.18 N 0.0
29.72 30.16 0.015 0.165 36.32 40.92 N 0.0
42.715 43.165 -0.3 0.08 56.11 59.39 N 0.0
51.425 51.955 0.61 0.87 1.765 5.755 F 1.0
21.775 22.105 0.025 0.255 74.995 78.745 F 1.0
30.63 30.85 0.57 0.81 78.885 80.815 N 0.0
42.01 42.17 -0.225 0.005 15.79 17.23 N 0.0
36.85 37.33 -0.36 0.04 17.225 20.055 N 0.0
34.475 34.805 -0.165 0.145 75.475 79.125 N 0.0
30.7 30.98 0.115 0.265 59.185 62.255 N 0.0
32.74 32.84 0.085 0.295 14.335 17.845 F 1.0
34.73 35.35 -0.555 0.335 14.365 15.255 F 1.0
23.305 23.675 -0.755 -0.565 3.995 6.925 N 0.0
44.365 44.815 -0.245 0.125 39.495 42.845 N 0.0
32.175 32.705 -0.03 0.31 40.555 46.025 F 1.0
18.405 18.875 0.13 0.45 17.17 23.51 F 1.0
22.82 23.26 0.11 0.37 74.47 76.73 N 0.0
30.265 30.515 -0.6 -0.22 46.385 48.695 F 1.0
20.65 21.03 -0.06 0.14 25.8 31.04 N 0.0
36.295 36.585 0.725 0.955 40.64 44.24 N 0.0
32.03 32.65 -0.135 0.615 9.67 11.45 F 1.0
20.475 20.705 -0.6 -0.42 64.69 66.11 N 0.0
38.76 39.02 -0.4 -0.12 42.29 45.99 N 0.0
25.24 25.54 -0.14 0.22 107.95 110.41 N 0.0
32.415 32.665 0.965 1.115 19.94 21.58 N 0.0
48.645 49.035 0.08 0.4 5.21 10.81 F 1.0
30.475 31.305 -0.885 -0.735 76.485 81.515 N 0.0
21.65 21.83 -0.12 0.1 65.015 69.185 F 1.0
45.46 45.82 -0.24 0.22 5.65 9.53 F 1.0
32.66 33.02 -0.775 -0.445 87.36 89.34 N 0.0
29.745 30.235 -0.13 0.01 48.3 51.04 F 1.0
36.685 36.995 0.9 1.18 12.43 14.65 F 1.0
35.03 35.45 -0.48 -0.04 58.9 63.4 N 0.0
26.135 26.345 0.125 0.355 69.215 72.625 F 1.0
21.68 22.0 0.47 0.71 28.45 30.09 F 1.0
26.865 27.215 -0.265 -0.055 102.385 104.915 F 1.0
23.685 24.095 -0.025 0.205 36.08 41.16 N 0.0
17.7 18.18 -0.71 -0.01 1.705 8.375 F 1.0
39.38 39.6 0.15 0.43 40.645 44.235 N 0.0
38.455 38.625 0.86 1.02 10.91 12.77 N 0.0
33.22 33.46 0.725 0.955 9.97 11.15 N 0.0
38.51 38.87 -0.33 0.21 34.35 37.79 N 0.0
33.32 33.86 -0.655 -0.165 54.79 61.55 N 0.0
22.77 23.21 0.5 0.98 7.975 9.745 N 0.0
21.345 21.635 -0.465 -0.055 111.32 114.68 F 1.0
47.605 47.875 -0.68 -0.14 39.685 42.655 N 0.0
21.245 21.735 -0.83 -0.59 72.61 76.89 F 1.0
35.98 36.2 -0.87 -0.75 28.485 30.055 N 0.0
36.005 36.275 0.505 0.775 22.0 22.92 N 0.0
20.29 20.69 -0.31 -0.11 113.695 116.565 N 0.0
46.77 47.11 -0.725 -0.595 50.03 51.85 N 0.0
