GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb Source
26.5330 0.2900 100.2000 0.0692 0.0692 0 1.3100 -0.5 1.0 0.0 0.004784027777777778 0.004784027777777778 3679
26.5850 0.4750 86.8000 0.1030 0.1030 0 1.9500 0.5 1.0 0.0 0.010608999999999999 0.010608999999999999 3684
26.5390 -0.3140 107.6000 0.1358 0.1358 0 1.6300 0.5 1.0 0.0 0.018450694444444443 0.018450694444444443 3690
26.5850 0.0020 25.0000 0.0602 0.0602 0 1.5200 0.5 1.0 0.0 0.003620027777777778 0.003620027777777778 3699
26.7160 0.1750 31.2000 0.0198 0.0198 0 1.0100 0.5 1.0 0.0 0.00039336111111111104 0.00039336111111111104 3713
26.9650 0.1870 93.6000 0.1347 0.1347 0 1.6800 -0.5 1.0 0.0 0.01813511111111111 0.01813511111111111 3722
26.9350 0.1030 91.4000 0.0703 0.0703 0 1.2100 0.5 1.0 0.0 0.004946777777777777 0.004946777777777777 3725
26.8020 -0.0870 79.7000 0.1713 0.1713 0 1.9100 -0.5 1.0 0.0 0.029355111111111103 0.029355111111111103 3729
27.0270 -0.1520 103.0000 0.0860 0.0860 0 1.4200 -0.5 1.0 0.0 0.0073960000000000015 0.0073960000000000015 3743
27.1250 -0.1100 47.6000 0.0802 0.0802 0 1.4400 -0.5 1.0 0.0 0.006426694444444444 0.006426694444444444 3764
27.2030 -0.0910 26.5000 0.0488 0.0488 0 1.9000 0.5 1.0 0.0 0.0023846944444444445 0.0023846944444444445 3766
27.2480 0.1460 34.0000 0.0922 0.0922 0 3.1500 0.5 1.0 0.0 0.008494694444444445 0.008494694444444445 3779
27.3410 -0.1400 92.2000 0.1108 0.1108 0 1.4600 -0.5 1.0 0.0 0.012284027777777779 0.012284027777777779 3782
27.5290 0.2350 36.3000 0.0592 0.0592 0 1.9000 0.5 1.0 0.0 0.0035006944444444443 0.0035006944444444443 3795
27.5740 0.0830 84.2000 0.0735 0.0735 0 2.1000 -0.5 1.0 0.0 0.005402249999999999 0.005402249999999999 3807
27.5840 0.0500 87.4000 0.0583 0.0583 0 2.2200 0.5 1.0 0.0 0.003402777777777778 0.003402777777777778 3810
27.8380 -0.2490 104.2000 0.0700 0.0700 0 1.6500 0.5 1.0 0.0 0.004900000000000001 0.004900000000000001 3833
27.6290 0.1000 98.4000 0.1930 0.1930 0 2.8600 -0.5 1.0 0.0 0.037249000000000004 0.037249000000000004 3834
27.8980 -0.0130 97.7000 0.0387 0.0387 0 1.5800 -0.5 1.0 0.0 0.0014951111111111107 0.0014951111111111107 3852
27.9060 0.2070 40.6000 0.0847 0.0847 0 4.5400 -0.5 1.0 0.0 0.007168444444444444 0.007168444444444444 3858
27.9500 -0.5550 54.8000 0.0310 0.0310 0 0.7000 -0.5 1.0 0.0 0.0009609999999999999 0.0009609999999999999 3861
28.0850 -0.4010 46.2000 0.2042 0.2042 0 1.3600 -0.5 1.0 0.0 0.04168402777777778 0.04168402777777778 3863
28.1830 -0.0440 97.4000 0.0943 0.0943 0 1.5000 -0.5 1.0 0.0 0.008898777777777778 0.008898777777777778 3897
28.2130 0.2180 88.6000 0.0653 0.0653 0 1.6400 -0.5 1.0 0.0 0.004268444444444444 0.004268444444444444 3901
28.2330 0.0410 107.5000 0.0655 0.0655 0 1.6800 -0.5 1.0 0.0 0.004290250000000001 0.004290250000000001 3922
28.2740 -0.1600 79.3000 0.0755 0.0755 0 2.5300 -0.5 1.0 0.0 0.00570025 0.00570025 3923
28.2940 -0.0160 45.7000 0.1377 0.1377 0 2.8600 -0.5 1.0 0.0 0.01895211111111111 0.01895211111111111 3926
28.3050 -0.4160 83.5000 0.0678 0.0678 0 2.4800 -0.5 1.0 0.0 0.0046013611111111125 0.0046013611111111125 3929
28.3580 -0.0060 99.5000 0.1048 0.1048 0 1.5000 -0.5 1.0 0.0 0.010990027777777777 0.010990027777777777 3932
28.3070 -0.0340 33.8000 0.0677 0.0677 0 1.8300 0.5 1.0 0.0 0.004578777777777776 0.004578777777777776 3935
28.3440 0.0780 79.1000 0.1052 0.1052 0 2.1900 -0.5 1.0 0.0 0.011060027777777776 0.011060027777777776 3955
28.5790 -0.2860 88.2000 0.1053 0.1053 0 1.8500 -0.5 1.0 0.0 0.011095111111111111 0.011095111111111111 3998
28.5920 -0.0160 44.3000 0.0388 0.0388 0 2.1200 0.5 1.0 0.0 0.0015080277777777776 0.0015080277777777776 4003
28.6340 0.0290 103.4000 0.0507 0.0507 0 3.1800 -0.5 1.0 0.0 0.002567111111111111 0.002567111111111111 4014
28.7710 -0.2630 87.7000 0.1028 0.1028 0 1.4500 -0.5 1.0 0.0 0.010574694444444444 0.010574694444444444 4022
28.7050 -0.1980 102.2000 0.0552 0.0552 0 0.7000 -0.5 1.0 0.0 0.0030433611111111113 0.0030433611111111113 4024
28.7240 -0.2440 99.7000 0.0263 0.0263 0 0.8900 0.5 1.0 0.0 0.0006934444444444444 0.0006934444444444444 4026
28.7990 -0.0220 100.4000 0.0347 0.0347 0 1.5700 -0.5 1.0 0.0 0.0012017777777777777 0.0012017777777777777 4044
28.8040 0.1790 105.6000 0.0358 0.0358 0 1.7900 -0.5 1.0 0.0 0.0012840277777777774 0.0012840277777777774 4048
28.8350 0.4520 84.8000 0.0920 0.0920 0 2.1100 0.5 1.0 0.0 0.008464 0.008464 4049
28.9070 -0.2190 95.5000 0.0785 0.0785 0 1.4400 -0.5 1.0 0.0 0.00616225 0.00616225 4071
28.9490 0.0960 70.6000 0.0553 0.0553 0 1.3900 0.5 1.0 0.0 0.0030617777777777774 0.0030617777777777774 4088
29.1420 0.0690 95.7000 0.1977 0.1977 0 2.6300 -0.5 1.0 0.0 0.039072111111111106 0.039072111111111106 4106
29.2240 -0.0540 61.3000 0.0317 0.0317 0 0.9400 -0.5 1.0 0.0 0.0010027777777777776 0.0010027777777777776 4122
29.3130 -0.3380 93.3000 0.1615 0.1615 0 2.5100 -0.5 1.0 0.0 0.02608224999999999 0.02608224999999999 4135
29.4080 -0.1070 104.5000 0.0732 0.0732 0 1.8000 -0.5 1.0 0.0 0.00535336111111111 0.00535336111111111 4152
29.4510 -0.1810 85.6000 0.0378 0.0378 0 0.7800 -0.5 1.0 0.0 0.001431361111111111 0.001431361111111111 4154
29.4850 -0.1770 105.2000 0.0192 0.0192 0 0.9800 -0.5 1.0 0.0 0.00036736111111111106 0.00036736111111111106 4160
29.6600 -0.6020 74.9000 0.1788 0.1788 0 3.2600 -0.5 1.0 0.0 0.03198136111111111 0.03198136111111111 4184
29.6160 0.2540 77.2000 0.0255 0.0255 0 0.7300 -0.5 1.0 0.0 0.0006502499999999999 0.0006502499999999999 4193
29.7670 -0.2550 100.5000 0.0567 0.0567 0 1.5600 -0.5 1.0 0.0 0.0032111111111111108 0.0032111111111111108 4219
29.9380 -0.0310 99.6000 0.1288 0.1288 0 4.1100 -0.5 1.0 0.0 0.016598027777777778 0.016598027777777778 4252
29.9340 -0.7520 83.9000 0.1608 0.1608 0 1.3700 -0.5 1.0 0.0 0.02586736111111111 0.02586736111111111 4267
29.9900 -0.2790 104.7000 0.1493 0.1493 0 2.1400 -0.5 1.0 0.0 0.02230044444444445 0.02230044444444445 4281
30.1130 -0.0380 86.6000 0.0762 0.0762 0 1.9100 -0.5 1.0 0.0 0.005801361111111112 0.005801361111111112 4312
30.2660 0.0600 70.5000 0.0450 0.0450 0 1.4900 0.5 1.0 0.0 0.0020250000000000003 0.0020250000000000003 4328
30.3380 0.0840 43.6000 0.0718 0.0718 0 1.8900 0.5 1.0 0.0 0.005160027777777777 0.005160027777777777 4354
30.3630 0.3990 93.4000 0.0775 0.0775 0 1.5800 -0.5 1.0 0.0 0.00600625 0.00600625 4366
30.3490 0.0680 95.1000 0.1172 0.1172 0 2.3700 -0.5 1.0 0.0 0.013728027777777778 0.013728027777777778 4372
30.3980 -0.1040 87.5000 0.0425 0.0425 0 1.4100 -0.5 1.0 0.0 0.0018062499999999997 0.0018062499999999997 4384
30.3820 0.4830 16.5000 0.0968 0.0968 0 1.9600 0.5 1.0 0.0 0.009376694444444443 0.009376694444444443 4403
30.4320 -0.1110 103.8000 0.0325 0.0325 0 3.0700 -0.5 1.0 0.0 0.0010562500000000001 0.0010562500000000001 4406
30.5240 0.0440 47.8000 0.0290 0.0290 0 1.4100 -0.5 1.0 0.0 0.0008409999999999998 0.0008409999999999998 4449
30.5560 -0.0100 42.0000 0.0848 0.0848 0 3.1000 -0.5 1.0 0.0 0.007196694444444444 0.007196694444444444 4468
30.6040 0.1790 104.2000 0.0708 0.0708 0 2.2400 -0.5 1.0 0.0 0.0050173611111111105 0.0050173611111111105 4472
30.5890 0.1640 94.1000 0.1037 0.1037 0 1.6900 -0.5 1.0 0.0 0.010746777777777775 0.010746777777777775 4479
