| x_pos | y_pos | z_pos |   lon |   lat |   vel | comp |    dist | e_dist |   prob | arm |
|     0 |    66 |   229 | 20.01 |  -0.7 |  43.7 |    1 |   3.344 | 0.1766 |    1.0 | ScN |
|     0 |    67 |    45 | 20.01 | -0.69 |   4.6 |    1 |  0.2339 |  0.066 | 0.1157 | AqR |
|     0 |    67 |    45 | 20.01 | -0.69 |   4.6 |    2 |  1.2188 | 0.1144 | 0.2374 | ... |
|     0 |    67 |    45 | 20.01 | -0.69 |   4.6 |    3 |  1.5383 | 0.3614 | 0.5697 | SgN |
|     0 |    67 |    45 | 20.01 | -0.69 |   4.6 |    4 |  2.4937 | 0.1543 | 0.0772 | ... |
|     0 |    67 |   223 | 20.01 | -0.69 |  42.4 |    1 |  3.3284 | 0.1785 |    1.0 | ScN |
|     0 |    67 |   250 | 20.01 | -0.69 |  48.2 |    1 |  3.3951 | 0.1776 |    1.0 | ScN |
|     0 |    68 |   216 | 20.01 | -0.69 |  41.0 |    1 |   3.311 | 0.1816 |    1.0 | ScN |
|     0 |    68 |   226 | 20.01 | -0.69 |  43.1 |    1 |  3.3368 | 0.1774 |    1.0 | ScN |
|     0 |    68 |   251 | 20.01 | -0.69 |  48.4 |    1 |  3.3989 | 0.1762 |    1.0 | ScN |
|     0 |    69 |   215 | 20.01 | -0.68 |  40.7 |    1 |  3.3072 | 0.1826 |    1.0 | ScN |
|     0 |    69 |   226 | 20.01 | -0.68 |  43.1 |    1 |  3.3368 | 0.1776 |    1.0 | ScN |
|     0 |    69 |   252 | 20.01 | -0.68 |  48.6 |    1 |  3.4011 | 0.1767 |    1.0 | ScN |
|     0 |    70 |   216 | 20.01 | -0.68 |  41.0 |    1 |   3.311 | 0.1818 |    1.0 | ScN |
|     0 |    70 |   225 | 20.01 | -0.68 |  42.9 |    1 |  3.3344 | 0.1779 |    1.0 | ScN |
|     0 |    70 |   251 | 20.01 | -0.68 |  48.4 |    1 |   3.399 | 0.1764 |    1.0 | ScN |
|     0 |    71 |   133 | 20.01 | -0.67 |  23.3 |    1 |  1.8401 | 0.2165 | 0.7655 | SgN |
|     0 |    71 |   133 | 20.01 | -0.67 |  23.3 |    2 |  3.1626 |  0.266 | 0.2345 | ScN |
|     0 |    71 |   220 | 20.01 | -0.67 |  41.8 |    1 |   3.321 |   0.18 |    1.0 | ScN |
